id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date,price,house_id,id.1,renovated_recently
2013802030,3.0,2.0,2460.0,53882.0,1.0,1.0,4.0,3,7,2460.0,0.0,1955,0.0,98198,47.3811,-122.325,2660.0,32625.0,2014-09-11,357000.0,2013802030,11545,False
7631800110,3.0,2.5,1980.0,17342.0,2.0,1.0,4.0,3,10,1580.0,400.0,1984,0.0,98166,47.4551,-122.373,2060.0,17313.0,2014-09-18,380000.0,7631800110,18834,False
221029019,3.0,2.5,2090.0,32718.0,2.0,1.0,4.0,3,7,1550.0,540.0,1919,,98070,47.3338,-122.511,1200.0,192268.0,2015-04-28,400000.0,221029019,8271,False
6329000185,3.0,2.5,2600.0,23361.0,1.5,1.0,4.0,3,8,2150.0,450.0,1912,0.0,98146,47.4997,-122.379,1700.0,14700.0,2015-03-29,540000.0,6329000185,17461,False
121039083,3.0,1.75,1460.0,12367.0,2.0,1.0,4.0,4,8,1120.0,340.0,1970,0.0,98023,47.3311,-122.375,1970.0,18893.0,2015-02-06,629000.0,121039083,9846,False
3222049055,3.0,1.75,2800.0,19386.0,1.0,1.0,4.0,3,8,1400.0,1400.0,1965,0.0,98198,47.3554,-122.324,3270.0,31450.0,2015-01-16,650000.0,3222049055,9077,False
2122039094,3.0,3.0,1970.0,20978.0,2.0,1.0,3.0,4,9,1770.0,200.0,1980,0.0,98070,47.3844,-122.438,2280.0,75396.0,2014-11-26,705000.0,2122039094,458,False
5215200050,3.0,2.5,2960.0,69351.0,2.0,1.0,3.0,4,9,2960.0,0.0,1990,0.0,98070,47.4,-122.42,2350.0,41433.0,2014-07-29,750000.0,5215200050,17139,False
6329000190,4.0,1.75,2520.0,21834.0,1.0,1.0,4.0,3,8,1420.0,1100.0,1960,0.0,98146,47.4996,-122.378,1700.0,8100.0,2014-07-29,750000.0,6329000190,16405,False
7567600030,5.0,1.75,2640.0,13290.0,1.0,1.0,4.0,4,8,1400.0,1240.0,1954,0.0,98178,47.5022,-122.223,2400.0,11942.0,2015-01-27,750000.0,7567600030,11156,False
2623039082,3.0,3.5,2050.0,21744.0,2.0,1.0,4.0,4,9,1750.0,300.0,1930,0.0,98166,47.4536,-122.376,2300.0,12200.0,2015-02-18,770000.0,2623039082,11833,False
8069000075,4.0,1.75,2460.0,10061.0,1.0,1.0,4.0,3,7,1410.0,1050.0,1961,0.0,98178,47.5105,-122.238,2300.0,10061.0,2014-12-29,790000.0,8069000075,1156,False
3222049151,3.0,2.5,2990.0,10711.0,1.0,1.0,4.0,3,9,1560.0,1430.0,1976,19910.0,98198,47.3573,-122.324,2870.0,11476.0,2014-10-30,820000.0,3222049151,17644,True
3222049044,3.0,3.0,2790.0,12523.0,2.0,1.0,4.0,4,8,1600.0,1190.0,1977,,98198,47.3571,-122.324,2990.0,11476.0,2014-06-12,835000.0,3222049044,12923,False
8073000585,4.0,2.25,2290.0,12174.0,1.0,1.0,4.0,3,7,1490.0,800.0,1948,0.0,98178,47.5114,-122.245,2290.0,9379.0,2014-07-15,840500.0,8073000585,15373,False
7631200085,3.0,2.75,2980.0,27144.0,1.5,1.0,2.0,5,8,2180.0,800.0,1917,,98166,47.4522,-122.378,1890.0,12514.0,2014-05-12,947500.0,7631200085,14175,False
5119400075,3.0,3.25,3050.0,18892.0,1.0,1.0,4.0,4,8,1650.0,1400.0,1962,,98198,47.3881,-122.326,1170.0,70973.0,2014-06-20,950000.0,5119400075,11413,False
7110000068,6.0,2.75,2520.0,54160.0,2.0,1.0,4.0,3,7,2520.0,0.0,1954,0.0,98146,47.4969,-122.376,2790.0,26809.0,2014-07-03,975000.0,7110000068,17882,False
2623039019,3.0,2.75,2015.0,16807.0,2.0,1.0,4.0,3,9,2015.0,0.0,2007,0.0,98166,47.45,-122.377,1780.0,12310.0,2014-05-08,988500.0,2623039019,19956,False
7636800041,3.0,4.5,4380.0,47044.0,2.0,1.0,3.0,3,9,3720.0,660.0,1968,19900.0,98166,47.4734,-122.365,2460.0,18512.0,2014-06-25,995000.0,7636800041,1260,True
2322029048,3.0,2.75,2830.0,505166.0,1.0,1.0,3.0,4,8,1830.0,1000.0,1962,0.0,98070,47.3782,-122.514,2120.0,21988.0,2014-11-19,999000.0,2322029048,2963,False
